Brand,Processor,Storage,RAM,OS,Display,Office,Warranty,Price
ASUS,Intel Core i5 Processor (10th Gen),512 GB SSD,8 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹52,990"
ASUS,Intel Core i3 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,"₹36,990"
acer,Intel Core i3 Processor (12th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year International Travelers Warranty (ITW),"₹54,999"
DELL,Intel Core i5 Processor (12th Gen),512 GB SSD,16 GB DDR5 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,,"₹85,000"
ASUS,Intel Core i3 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2021,1 Year Onsite Warranty,"₹45,990"
RedmiBook,Intel Core i5 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 inch) Display,"MS Office Home & Student 2019, Mi Smart Share, DTS Audio processing",1 Year Onsite Warranty,"₹46,990"
APPLE,Apple M2 Processor,512 GB SSD,8 GB Unified Memory RAM,Mac OS Operating System,34.54 cm (13.6 Inch) Display,,1 Year Limited Warranty,"₹1,40,990"
ASUS,AMD Ryzen 7 Octa Core Processor,512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,"₹64,990"
ASUS,Intel Core i3 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,,1 Year Onsite Warranty,"₹40,990"
ASUS,Intel Core i5 Processor (10th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2021,1 Year Onsite Warranty,"₹42,990"
APPLE,Apple M1 Processor,256 GB SSD,16 GB DDR4 RAM,Mac OS Operating System,33.78 cm (13.3 inch) Display,,1 Year Limited Warranty,"₹1,05,990"
ASUS,AMD Ryzen 7 Octa Core Processor,512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,40.64 cm (16 inch) Display,"Windows 11, Microsoft Office H&S 2021, 1 Year McAfee",1 Year Onsite Warranty,"₹66,990"
Lenovo,Intel Core i5 Processor (12th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,,"₹65,490"
APPLE,Apple M1 Processor,512 GB SSD,16 GB DDR4 RAM,Mac OS Operating System,33.78 cm (13.3 inch) Display,,1 Year Limited Warranty,"₹1,25,990"
Lenovo,AMD Athlon Dual Core Processor,1 TB HDD,4 GB DDR4 RAM,DOS Operating System,35.56 cm (14 Inch) Display,,1 Year Onsite Warranty,"₹18,990"
APPLE,Apple M1 Pro Processor,1 TB SSD,16 GB Unified Memory RAM,Mac OS Operating System,36.07 cm (14.2 inch) Display,,1 Year Limited Warranty,"₹2,22,990"
ASUS,Intel Core i3 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,,1 Year Onsite Warranty,"₹40,990"
acer,AMD Ryzen 5 Quad Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year International Travelers Warranty (ITW),"₹35,990"
HP,Intel Core i5 Processor (12th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,"Microsoft Office Home & Student 2021, HP Documentation, HP BIOS recovery, HP Smart",1 Year Onsite Warranty,"₹71,990"
HP,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,"Microsoft Office 2021 Home & Student, HP Documentation, HP BIOS recovery, HP Smart",1 Year Onsite Warranty,"₹64,805"
ASUS,AMD Ryzen 7 Octa Core Processor,512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,"₹87,990"
ASUS,Intel Core i7 Processor (12th Gen),1 TB SSD,16 GB DDR5 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹1,01,990"
ASUS,Intel Core i5 Processor (12th Gen),512 GB SSD,8 GB DDR4 RAM,Windows 11 Operating System,35.56 cm (14 inch) Display,Microsoft Office Home & Student 2021,1 Year Onsite Warranty,"₹56,990"
DELL,Intel Core i5 Processor (11th Gen),1 TB HDD|256 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹60,414"
DELL,AMD Ryzen 5 Quad Core Processor,256 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 Inch) Display,Microsoft Office Home & Student 2019,1 Year Onsite Warranty,"₹41,890"
acer,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year International Travelers Warranty (ITW),"₹55,990"
ASUS,Intel Core i3 Processor (12th Gen),512 GB SSD,8 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 inch) Touchscreen Display,,,"₹46,288"
ASUS,Intel Core i3 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,"Windows 11, Microsoft Office H&S 2021, 1 Year McAfee",1 Year Onsite Warranty,"₹38,990"
HP,Intel Core i5 Processor (12th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,"HP Documentation, HP BIOS recovery, HP Smart, Microsoft Office Home & Student 2021",1 Year Onsite Warranty,"₹63,990"
ASUS,Intel Core i3 Processor (11th Gen),256 GB SSD,4 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,,,"₹31,990"
