Brand,Processor_Brand,Processor_Type,Storage_SSD,Storage_HDD,RAM_GB,RAM_Type,OS,Display_Size,Display_Type,Office,Warranty,Price
acer,Intel,Core i5  - 12th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year International Travelers Warranty,64990
ASUS,Intel,Core i5  - 12th Gen,512,,8,DDR5,Windows 11,15.6,Normal,Office Home & Student,1 Year Onsite Warranty,76990
HP,Intel,Core i5  - 12th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,63990
ASUS,AMD,Ryzen 7 Quad Core,512,,16,DDR4,Windows 11,14,Normal,Office Home & Student 2021,1 Year Onsite Warranty,46990
ASUS,AMD,Ryzen 7 Octa Core,1024,,16,DDR5,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,105990
MSI,Intel,Core i5  - 12th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite & Carry In Warranty,52990
MSI,Intel,Core i5  - 12th Gen,512,,16,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Carry In Warranty,78990
APPLE,Apple,M1 Max,1024,,32,Unified Memory,Mac,16.2,Normal,Not Available,1 Year Limited Warranty,307990
Lenovo,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,14,Normal,Not Available,2 Year Onsite Warranty,37990
Lenovo,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,2 Year Onsite Warranty,37248
APPLE,Apple,M1,512,,16,DDR4,Mac,13.3,Normal,Not Available,1 Year Limited Warranty,124990
MSI,Intel,Core i7  - 12th Gen,1024,,16,DDR5,Windows 11,17.3,Normal,Not Available,2 Year Onsite & Carry In Warranty,180890
ASUS,Intel,Core i3  - 11th Gen,256,,8,LPDDR4X,Windows 11,14,Touchscreen,Not Available,,44990
ASUS,Intel,Core i3  - 10th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,32990
ASUS,Intel,Core i5  - 11th Gen,256,1024 ,16,DDR4,Windows 10,15.6,Normal,Office Home & Student 2019,1 Year Onsite Warranty,63990
MSI,Intel,Core i9  - 12th Gen,2048,,32,DDR5,Windows 11,17.3,Normal,Not Available,2 Year Onsite & Carry In Warranty,319990
ASUS,Intel,Core i5  - 10th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,45990
